Movie Name,Released Date,Genre,MPAA Rating,Year Gross,Tickets Sold
Toy Story,"Nov 22, 1995",Adventure,G,"$150,004,917","34,483,888"
Ace Ventura: When Nature Calls,"Nov 10, 1995",Comedy,PG-13,"$104,371,496","23,993,447"
Crimson Tide,"May 12, 1995",Action,R,"$91,387,195","21,008,550"
Waterworld,"Jul 28, 1995",Action,PG-13,"$88,246,220","20,286,487"
Se7en,"Sep 22, 1995",Thriller/Suspense,R,"$87,113,775","20,026,155"
While You Were Sleeping,"Apr 21, 1995",Romantic Comedy,PG,"$81,057,016","18,633,796"
Outbreak,"Mar 10, 1995",Thriller/Suspense,R,"$67,823,573","15,591,625"
Bad Boys,"Apr 7, 1995",Action,R,"$65,647,413","15,091,359"
Dumb & Dumber,"Dec 16, 1994",Comedy,PG-13,"$60,671,411","13,947,450"
Species,"Jul 7, 1995",Horror,R,"$60,054,449","13,805,620"
The American President,"Nov 17, 1995",Romantic Comedy,PG-13,"$51,068,604","11,739,908"
Something to Talk About,"Aug 4, 1995",Comedy,R,"$50,865,589","11,693,238"
The Net,"Jul 28, 1995",Thriller/Suspense,PG-13,"$50,621,733","11,637,180"
Under Siege 2: Dark Territory,"Jul 14, 1995",Action,R,"$50,024,083","11,499,789"
Pulp Fiction,"Oct 14, 1994",Drama,R,"$44,268,548","10,176,677"
Man of the House,"Mar 3, 1995",Comedy,PG,"$40,029,009","9,202,071"
French Kiss,"May 5, 1995",Romantic Comedy,PG-13,"$38,863,798","8,934,206"
Higher Learning,"Jan 11, 1995",Drama,R,"$38,023,585","8,741,054"
Just Cause,"Feb 17, 1995",Thriller/Suspense,R,"$36,853,222","8,472,005"
Heat,"Dec 15, 1995",Drama,R,"$36,508,135","8,392,674"
To Wong Foo Thanks for Ever…,"Sep 8, 1995",Comedy,PG-13,"$36,466,570","8,383,119"
Money Train,"Nov 22, 1995",Action,R,"$34,678,517","7,972,072"
Forget Paris,"May 19, 1995",Romantic Comedy,PG-13,"$33,194,512","7,630,922"
Tommy Boy,"Mar 31, 1995",Comedy,PG-13,"$32,648,673","7,505,442"
Copycat,"Oct 27, 1995",Thriller/Suspense,R,"$31,436,894","7,226,872"
Grumpier Old Men,"Dec 22, 1995",Romantic Comedy,PG-13,"$30,767,512","7,072,991"
Free Willy 2: The Adventure…,"Jul 19, 1995",Adventure,PG,"$30,077,111","6,914,278"
Powder,"Oct 27, 1995",Drama,PG-13,"$29,961,344","6,887,665"
Assassins,"Oct 6, 1995",Action,R,"$29,488,174","6,778,890"
Major Payne,"Mar 24, 1995",Comedy,PG-13,"$29,412,050","6,761,390"
Friday,"Apr 26, 1995",Comedy,R,"$27,467,564","6,314,382"
Now and Then,"Oct 20, 1995",Drama,PG-13,"$26,480,554","6,087,483"
Houseguest,"Jan 6, 1995",Comedy,PG,"$26,325,256","6,051,782"
Desperado,"Aug 25, 1995",Western,R,"$25,532,388","5,869,514"
Billy Madison,"Feb 10, 1995",Comedy,PG-13,"$25,460,475","5,852,982"
Dead Presidents,"Oct 4, 1995",Drama,R,"$24,061,776","5,531,442"
Virtuosity,"Aug 4, 1995",Action,R,"$23,998,226","5,516,833"
Boys on the Side,"Feb 3, 1995",Drama,R,"$23,418,200","5,383,494"
The Usual Suspects,"Aug 16, 1995",Drama,R,"$22,959,756","5,278,104"
Tales from the Crypt: Demon…,"Jan 13, 1995",Horror,R,"$21,089,146","4,848,079"
Showgirls,"Sep 22, 1995",Drama,NC-17,"$20,350,754","4,678,334"
Vampire in Brooklyn,"Oct 27, 1995",Horror,R,"$19,114,796","4,394,205"
The Quick and the Dead,"Feb 10, 1995",Western,R,"$18,552,460","4,264,933"
The Big Green,"Sep 29, 1995",Comedy,PG,"$17,736,619","4,077,383"
